document_title,source_url,document_type,session,date,year,question_number,asked_by,minister,section,question_text,parts_count
"Thursday, 21st October, 2021",https://www.parliament.gov.zm/node/9844,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,54,Mr Chanda (Kanchibiya),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) why rehabilitation works on the Chalabesa-Kabinga road in Kanchibiya District have stalled; (b) when the works will resume; and (c) whether the works will resume before the onset of the rains, to avoid the Kabinga Chiefdom being cut off from the rest of the District.",3
"Thursday, 21st October, 2021",https://www.parliament.gov.zm/node/9844,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,55,Mr Kamondo (Mufumbwe),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) when the construction of Mufumbwe Boarding Secondary School in Mufumbwe District will be completed; (b) what the cause of the delay in completing the project is; (c) what the cost of the outstanding works on the project is; and (d) what the time frame for the completion of the project is. ___________________________,4
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,1,Ms Subulwa (Sioma),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to construct additional infrastructure at Mutomena Secondary School in Sioma Parliamentary Constituency, following its upgrade from primary school level; (b) if so, what additional infrastructure is earmarked for construction; (c) when the plans will be implemented; (d) what the estimated cost of the project is; and (e) what the estimated time frame for the completion of the project is.",5
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,2,Mr Siwanzi (Nakonde),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when the rehabilitation of township roads in Nakonde District will commence; (b) what has caused the delay in commencing the project; (c) what the total number of kilometres earmarked for rehabilitation in 2019 is; and (d) what the time frame for the completion of the project is.,4
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,3,Mr Kasonso (Solwezi West),Minister of Finance,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to introduce mineral revenue sharing mechanisms to ensure that communities near the mines benefit from the mining activities; (b) if so, when the plans will be implemented; (c) whether the Government has any plans to use part of the revenue from Kansanshi Mine to fund the construction of infrastructure at Kabompo College of Mathematics and Science; and (d) if there are no such plans, why.",4
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,4,Ms P Jere (Lumezi),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when the Government will release the counterpart funding for the completion of the following Secondary Schools in Lumezi District whose construction was commenced by the local communities at the behest of the Government: (i) Mwase; (ii) Mpingozi; (iii) Chikomeni; (iv) Luamphamba; (v) Chaomba; (vi) Kazembe; and (vii) Chasera; and (b) how much money will be released to each school.,4
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,5,Mr Kintu (Solwezi East),"Minister of Commerce, Trade and Industry",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to construct a One Stop Border Post at Kipushi in Solwezi East Parliamentary Constituency; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; and (d) what the estimated time frame for the completion of the project is.",4
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,6,Mr A Mumba (Kantanshi),Minister of Development Planning,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the implementation of the Seventh National Development Plan (SNDP) is on schedule; (b) if so, what major goals were attained as of May, 2019; (c) what measures have been taken to ensure that the SNDP is understood by the general citizenry; and (d) what challenges, if any, have been encountered in the implementation of the SNDP.",4
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,7,Mr Mukosa (Chinsali),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many ophthalmologists (eye specialists) were in the Ministry of Health, as of June, 2019; (b) whether there are any ophthalmologists at Chinsali General Hospital; (c) if not, when ophthalmologists will be deployed to the Hospital; and (d) if the position of ophthalmologist is not part of the establishment, whether there are any plans to introduce the position.",4
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,8,Mr Hamusonde (Nangoma),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) when the reconstruction of the Lusaka City Market, which was gutted by fire in July, 2017, will commence; and (b) what the cause of the delay in commencing the project is, despite the assurance that the Market would be reconstructed within six weeks after it was gutted.",2
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,9,Mr Chabi (Chipili),Minister of Finance,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many retired public service workers were still on the payroll as of January, 2019; (b) whether there are any retired public workers, whose benefits had not been fully settled, who did not receive their salaries from January to May, 2019; (c) if there were, why the salaries were not paid; and (d) what measures the Government is taking to expedite the payment of terminal benefits to the retired public service workers.",4
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,10,Dr Chibanda (Mufulira),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) when markets and bus stations boards will be established, countrywide; (b) what has caused the delay in operationalising the Markets and Bus Stations Act No. 7 of 2007; and (c) what immediate measures the Government is taking to stop political party cadres from running markets and bus stations.",3
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,11,Mr Sampa (Kasama Central),Minister of Lands and Natural Resources,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Ministry has a mechanism for monitoring the time employees report for, and knock off from, work; (b) if so, how many cases of late coming were recorded from December, 2018 to February, 2019; (c) what impact late coming has on service delivery; and (d) what measures have been taken to curb late coming.",4
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,12,Mr Lihefu (Manyinga),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) why the construction of health posts in Manyinga District has stalled; (b) when the construction works will resume; (c) what the cause of the delay in resuming the projects is; and (d) what the time frame for the completion of each project is.,4
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,13,Ms Kasanda (Chisamba),Minister of Information and Broadcasting,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) why the broadcasting licence for Prime Television was suspended in March, 2019; and (b) whether the suspension was not an affront to media freedom in the country.",2
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,14,Ms Mwape (Mkushi North),Minister of Agriculture when the,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),,0
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,15,Ms Tambatamba (Kasempa),Minister of Fisheries and Livestock,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) what the progress on the Aquapark Project in Kasempa Parliamentary Constituency is; (b) who the financier for the Project is; (c) what the total cost of the Project is; (d) how much money has been spent on the Project so far; (e) how many farmers will benefit from the Project; and (f) what the estimated lifespan of the Project is.,6
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,16,Mr Mecha (Chifunabuli),Minister of Community Development and Social Welfare,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) what the total number of Community Based Volunteers (CBVs) engaged under the Supporting Women’s Livelihood Initiative in Chifunabuli District was, from November, 2017 to November, 2018; (b) what the terms of engagement with the project for the CBVs were; (c) whether the Government adhered to the terms of engagement; (d) if the Government did not adhere to the terms, why; and (e) what the total number of CBVs engaged for the period January, 2019 to December, 2020, is.",5
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,17,Mr Michelo (Bweengwa),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many Zambian teachers were qualified to teach the Chinese Language as of June, 2019; (b) whether the Government has any plans to introduce the teaching of the Chinese Language in Zambian schools; (c) if so, when the plans will be implemented; (d) where the teachers will be sourced from; and (e) whether the teachers for the Chinese Language will be on the Government payroll.",5
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,18,Mr P Phiri (Mkaika),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many retirees, countrywide, had not been paid their retirement benefits by the Local Authorities Superannuation Fund (LASF) as of July, 2019; (b) how much money in total was owed to the retirees as of the same date; (c) when the retirees will be paid; (d) what the cause of the delay in paying the retirees is; (e) whether the unpaid benefits attract any interest due to passage of time; and (f) if no interest is payable, how the retirees are compensated for the delayed payment.",6
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,19,Dr M Malama (Kanchibiya),Minister of Fisheries and Livestock,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) whether the Goat Breeding Centre in Luchembe Chiefdom in Kanchibiya Parliamentary Constituency is operating as intended; (b) what the total number of employees deployed to the Centre is; and (c) how the Centre is benefiting the local community.,3
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,20,Mr Mutelo (Mitete),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government is aware that solar panels and batteries at the following Schools in Mitete Parliamentary Constituency were stolen: (i) Lutembwe Primary; (ii) Mwenda Primary; (iii) Lubelele Primary; (iv) Lupui Primary; and (v) Manjolo Secondary; (b) if so, whether there have been any arrests made following the thefts; and (c) what measures are being taken to avert further thefts of solar equipment at the schools in the Constituency. NOTICE OF MOTION Dr Chanda Thanks – His Excellency the President’s Address: That the thanks of this Assembly be recorded for the exposition of public policy contained in His Excellency the President’s Address. ___________________________",5
"Thursday, 26th June, 2025",https://www.parliament.gov.zm/node/12398,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,353,Mr Chinkuli (Kanyama),Minister of Health,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) how many interns were engaged by the Government at Kanyama Level I Hospital in Kanyama Parliamentary Constituency, under the Internship Programme from 2021 to 2024, year by year; and (b) of the interns above, how many had been employed by the Government during the same period, year by year.",2
"Thursday, 26th June, 2025",https://www.parliament.gov.zm/node/12398,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,354,Mr Kandafula (Serenje),Minister of Local Government and Rural Development,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) when the Government will reconstruct the bridge across Mbaswa Stream, connecting the Mbaswa and Makopa Settlements in Serenje District; (b) what the cost of the reconstruction is; and (c) what the time frame for the completion of the works is.",3
"Thursday, 26th June, 2025",https://www.parliament.gov.zm/node/12398,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,355,Mr Fube (Chilubi),Minister of Finance and National Planning,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),(a) what measures the Government is taking to arrest the rise in inflation in the economy; and (b) what factors contribute to the rise in prices of essential commodities.,2
"Thursday, 26th June, 2025",https://www.parliament.gov.zm/node/12398,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,356,Mr Hamwaata (Pemba),Minister of Energy,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to electrify Chimowa and surrounding areas in Pemba District; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; and (d) if there are no such plans, why.",4
"Thursday, 26th June, 2025",https://www.parliament.gov.zm/node/12398,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,357,Mr Miyutu (Kalabo Central),Minister of Education,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) how many of the following institutions of higher learning there were, countrywide, as of June, 2024: (i) public universities; (ii) private universities; (iii) public colleges; and (iv) private colleges; (b) how often the Higher Education Authority conducts assessments of the learning institutions at (a); and (c) what criteria are used to ensure quality education is provided.",4
"Friday, 16th September, 2022",https://www.parliament.gov.zm/node/10353,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,20,Mr Mushanga (Bwacha),Minister of Finance and National Planning,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has completed payments to the former Zambia Railways employees, who were retired between 1993 and 1996; (b) if the payments have not been completed, why; (c) what the total number of the affected former employees was, as of June, 2022; (d) how much money was owed to the former employees at (c); and (e) when all the former employees will be paid in full.",5
"Friday, 16th September, 2022",https://www.parliament.gov.zm/node/10353,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,21,Mr Kalimi (Malole),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) why the construction of Mungwi Modern Market in Mungwi District has stalled; (b) when the project will resume; (c) how much money was paid to the contractor, as of February, 2022; and (d) what the cost of the outstanding works was.",4
"Friday, 16th September, 2022",https://www.parliament.gov.zm/node/10353,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,22,Mr Mandandi (Sioma),Minister of Energy,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to electrify the villages around Sikuka area in Sioma Parliamentary Constituency; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; (d) what the estimated time frame for the completion of the project is; and (e) if there are no such plans, why.",5
"Friday, 16th September, 2022",https://www.parliament.gov.zm/node/10353,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,23,Ms M Phiri (Milanzi),"Minister of Local Government and Rural Development how many feeder roads are earmarked for rehabilitation in Milanzi Parliamentary Constituency in 2022, Ward by Ward.",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),,0
"Thursday, 7th March, 2019",https://www.parliament.gov.zm/node/7901,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,320,Mr Mecha (Chifunabuli),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether there were any community schools that were converted to Government schools in Chifunabuli Parliamentary Constituency in 2018; (b) if so, how many such schools were converted; (c) how many schools are yet to be converted; (d) whether the Government is aware that the number of teachers in community schools in the Constituency has reduced following the failure by most teachers to pay for their practicing licenses; and (e) if so, what measures are being taken to assist the affected teachers.",5
"Thursday, 7th March, 2019",https://www.parliament.gov.zm/node/7901,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,321,Mr Mecha (Chifunabuli),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) how many community schools in Chifunabuli District received grants in 2018; (b) what the names of the schools are; and (c) how much each school received.,3
"Thursday, 7th March, 2019",https://www.parliament.gov.zm/node/7901,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,322,Mr Mecha (Chifunabuli),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the piece of land on which the Mundubi Secondary School in Chifunabuli Parliamentary Constituency is situated, is held on title; (b) if not, whether there are any plans to obtain a certificate of title; and (c) if so, when the plans will be implemented.",3
"Thursday, 7th March, 2019",https://www.parliament.gov.zm/node/7901,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,323,Mr Mecha (Chifunabuli),"Minister of Water Development, Sanitation and Environmental Protection",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to improve the water reticulation system at St Margaret’s Mission Hospital in Chifunabuli Parliamentary Constituency; (b) if so, when the plans will be implemented; (c) whether there are any plans to extend the water reticulation system to the surrounding areas; and (d) if so, when the plans will be implemented.",4
"Thursday, 7th March, 2019",https://www.parliament.gov.zm/node/7901,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,324,Mr Mecha (Chifunabuli),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to designate the following Secondary Schools in Chifunabuli Parliamentary Constituency as Grade 12 GCE External Examination Centres: (i) Lubwe; and (ii) Mwewa; and (b) if so, when the plans will be implemented. ORDER OF THE DAY 1. Phase Out Gasoline Propelled Motor Vehicles - Motion (6th March) . Resumption of Debate - (Mr Sampa, MP) ___________________________",3
"Friday, 5th February, 2021",https://www.parliament.gov.zm/node/8710,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,116,Mr Kabanda (Serenje),Minister of Mines and Minerals Development what specific measures the Government is taking to harness the mining of manganese and gold to ensure that the country benefits from the resources.,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),,0
"Friday, 5th February, 2021",https://www.parliament.gov.zm/node/8710,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,117,Dr Kopulande (Chembe),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many dialysis machines there were at the University Teaching Hospital in Lusaka and other medical facilities, countrywide, as of December, 2020; (b) whether the machines were adequate to cater for all patients; and (c) if the machines were not adequate, when the shortfall will be met.",3
"Friday, 5th February, 2021",https://www.parliament.gov.zm/node/8710,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,118,Mr Nanjuwa (Mumbwa),Minister of Transport and Communication,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when the construction of a communication tower at Chunga in Nalusanga Ward in Mumbwa Parliamentary Constituency will commence; (b) what has caused the delay in commencing the project; and (c) what radius the tower will cover.,3
"Friday, 5th February, 2021",https://www.parliament.gov.zm/node/8710,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,119,Ms Kasune (Keembe),Minister of Fisheries and Livestock,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) when the livestock restocking exercise last took place in Keembe Parliamentary Constituency; (b) what the number of livestock, by type, was distributed; (c) how many families benefited from the exercise; (d) when the next restocking exercise will take place; and (e) what type of livestock will be restocked.",5
"Friday, 5th February, 2021",https://www.parliament.gov.zm/node/8710,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,120,Ms M Miti (Vubwi),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) why the construction of Vubwi Boarding Secondary School in Vubwi District has stalled; (b) when the project will resume; and (c) what measures are being taken to expedite the works in order to avert vandalism, especially that the project is above 80% completion. NOTICE OF MOTION Dr Imakando Adopt the Report of the Committee on Agriculture, Lands and Natural Resources: That this House do adopt the Report of the Committee on Agriculture, Lands and Natural Resources on the Report of the Auditor General on the Management of Irrigation Systems in Zambia for the period 2015 to 2019, for the Fifth Session of the Twelfth National Assembly, laid on the Table of the House on 19th January, 2021. __________________________",3
"Wednesday, 13th June, 2018",https://www.parliament.gov.zm/node/7534,Order Paper,SECOND SESSION OF THE TWELFTH ASSEMBLY,,,275,Dr Musokotwane (Liuwa),Minister of Tourism and Arts,QUESTIONS FOR ORAL ANSWER (STANDING ORDER NO. 30),"(a) whether the Government has any plans to construct a road around the Liuwa National Park in the Western Province to encourage investment in hotels and lodges; and (b) if so, when the plans will be implemented.",2
"Wednesday, 13th June, 2018",https://www.parliament.gov.zm/node/7534,Order Paper,SECOND SESSION OF THE TWELFTH ASSEMBLY,,,276,Mr Chali (Nchanga),Minister of Mines and Minerals Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER NO. 30),"(a) whether the Mine Safety Department has completed investigations into the fatal accident of 27th August, 2017 involving Mr Webster Chingwe at Nchanga Open Pit Cut II, in Chingola; (b) if so, why an inquest by the Courts has not commenced; (c) if the investigations have not been completed, why operations at the mine have been allowed to resume; (d) whether the action at (c) is not a violation of the mining and explosives regulations; and (e) if the regulations have been violated, what action will be taken against the culprits. PRESENTATION OF GOVERNMENT BILLS The Minister of Finance The Credit Reporting – Bill to provide for the regulation of credit reporting agencies by the Bank of Zambia; the licensing of credit reporting agencies; the establishment of a Credit Registry; the governance and management of credit reporting agencies, the protection of data subjects; information sharing and reporting to enable assessment of the credit worthiness of a data subject; and matters connected with, or incidental to, the foregoing.          (N.A.B 6/2018) The Minister of Finance The Public-Private Partnership (Amendment) – Bill to amend the Public-Private Partnership Act, 2009. (N.A.B 7/2018)",5
"Thursday, 17th July, 2025",https://www.parliament.gov.zm/node/12454,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,379,Mr Chewe (Lubansenshi),"Minister of Infrastructure, Housing and Urban Development",GROUPED QUESTIONS FOR ORAL ANSWER (STANDING ORDER 83),"(a) whether the Government has any plans to tar the Luwingu-Chaba road in Luwingu District; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; and (d) if there are no such plans, why.",4
"Thursday, 17th July, 2025",https://www.parliament.gov.zm/node/12454,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,380,Mr Tayengwa (Kabwata),"Minister of Infrastructure, Housing and Urban Development",GROUPED QUESTIONS FOR ORAL ANSWER (STANDING ORDER 83),"(a) whether the Government has any plans to tar the Shantumbu road in Kafue District; (b) if so, when the plans will be implemented; and (a) if there are no such plans, why.",3
"Thursday, 17th July, 2025",https://www.parliament.gov.zm/node/12454,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,381,Mr Tayengwa (Kabwata),"Minister of Infrastructure, Housing and Urban Development",GROUPED QUESTIONS FOR ORAL ANSWER (STANDING ORDER 83),"(a) whether the Government has any plans to upgrade the following roads in Lusaka District to dual carriage way, in order to ease the flow of traffic in the city: (i) Tokyo Way; and (ii) Airport Road. (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",4
"Thursday, 27th February, 2025",https://www.parliament.gov.zm/node/12186,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,232,Mr. Kapyanga (Mpika),Minister of Finance and National Planning,7. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 82),"(a) why the Government has suspended the 15 percent export duty on precious stones and metals; (b) what the anticipated revenue loss, arising from the tax suspension, is; and (c) what measures are being taken to compensate for the loss of the revenue.",3
"Thursday, 27th February, 2025",https://www.parliament.gov.zm/node/12186,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,233,Mr. Mutinta (Itezhi-Tezhi),"Minister of Youth, Sport and Arts what urgent measures the Government is taking to defuse the impasse at the Football Association of Zambia (FAZ), following the invalidation of nominations of some candidates vying for various positions at the forthcoming FAZ elective Annual General Meeting, to avert a ban of football activities by the Federation of International Football Association (FIFA).",7. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 82),,0
"Thursday, 27th February, 2025",https://www.parliament.gov.zm/node/12186,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,234,Mr. Kapyanga (Mpika),"Minister of Infrastructure, Housing and Urban Development",7. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 82),"(a) whether the Government is aware that a portion of the Kapamba Bridge, along the Mpika-Kaluba-Chobela road, connecting Mukungule Chiefdom to the rest of Mpika District, has been damaged following heavy rainfall, thereby making the crossing point unusable; and (b) if so, what urgent measures are being taken to repair the Bridge to facilitate the movement of motor vehicles and pedestrians at the crossing point.",2
"Thursday, 27th February, 2025",https://www.parliament.gov.zm/node/12186,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,235,Mr. Kolala (Lufubu),Vice President,8. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Chibobo Resettlement Scheme in Lufubu Parliamentary Constituency is designated as such; (b) if so, whether the local traditional leadership had given consent for the establishment of the Scheme; (c) how many farmers have been allocated land and issued with title deeds under the Scheme; (d) what the size of each farm allocated is; and (e) how much land was yet to be allocated, as of March, 2024.",5
"Thursday, 27th February, 2025",https://www.parliament.gov.zm/node/12186,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,236,Mr. Chanda (Kanchibiya),Minister of Local Government and Rural Development,8. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) how many bridges are earmarked for construction in Cheweshifwamba Ward in Kanchibiya Parliamentary Constituency; (b) when the project will commence; and (c) what the cost, on average, of constructing each bridge is.",3
"Thursday, 27th February, 2025",https://www.parliament.gov.zm/node/12186,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,237,Mr. Kang’ombe (Kamfinsa),Minister of Energy,8. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) what products are produced at Indeni Energy Company Limited in Ndola District; (b) how much capital is required to fully operationalise the Company; (c) of the capital at (b), how much was raised, as of April, 2024; (d) whether the conversion of the company from Indeni Petroleum Refinery to Indeni Energy has had an effect in terms of lowering the cost of fuel in the country; and (e) what the total workforce at Indeni Energy was, as of March, 2024. ___________________________",5
"Friday, 22nd July, 2022",https://www.parliament.gov.zm/node/10271,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,381,Mr Samakayi (Mwinilunga),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) how many health posts, under the 650 Health Posts Project were allocated to Luapula Province; (b) how the health posts were distributed, constituency by constituency; and (c) at what stage of completion, in percentage terms, the health posts were, as of September, 2021.",3
"Friday, 22nd July, 2022",https://www.parliament.gov.zm/node/10271,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,382,Mr Nyambose (Chasefu),Minister of Technology and Science,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) how many communication towers were erected in Chasefu Parliamentary Constituency in 2021; (b) how  many towers are earmarked for  construction in 2022; and (c) when new towers will be erected in the following Wards: (i) Chizingizi; (ii) Susa; (iii) Manda Hill; and (iv) Membe.,4
"Friday, 22nd July, 2022",https://www.parliament.gov.zm/node/10271,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,383,Mr Kang’ombe (Kamfinsa),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to rehabilitate feeder roads in the following areas in Kamfinsa Farming Block in Kamfinsa Parliamentary Constituency: (i) Kanshimu; (v) Chipolopolo; (ii) Misaka A and B; (vi) Kawemi; and (iii) Chipashi; (vii) Mwambonalimo; (iv) Katokamema; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; and (d) whether the Farming Block is a beneficiary of the World Bank funded feeder roads project. NOTICE OF MOTION Mr Mwambazi Adopt Report of the Public Accounts Committee: That this House do adopt the Report of the Public Accounts Committee on the Report of the Auditor General on the Audit of Utilisation of COVID-19 Resources for the Period July, 2020 to October, 2021, for the First Session of the Thirteenth National Assembly, laid on the Table of the House on Wednesday, 20th July, 2022. __________________________",5
